starting ...
Status Connected          27049561432
Data  GameReadyToStart    27049562712
Data  NewTurn             27049562723
Data  PlayerMove          27049562804
Data  NewTurn             27049562806
Data  PlaceWall           27049580198
Data  NewTurn             27049580226
Data  PlayerMove          27049580298
Data  NewTurn             27049580298
Data  PlaceWall           27049582598
Data  NewTurn             27049582598
Data  PlayerMove          27049582699
Data  NewTurn             27049582699
Data  PlaceWall           27049586865
Data  NewTurn             27049586871
Data  PlayerMove          27049586982
Data  NewTurn             27049586982
Data  PlayerMove          27049590032
Data  NewTurn             27049590032
Data  PlayerMove          27049590149
Data  NewTurn             27049590149
Data  PlayerMove          27049591131
Data  NewTurn             27049591131
Data  PlayerMove          27049591231
Data  NewTurn             27049591231
Data  PlayerMove          27049591665
Data  NewTurn             27049591665
Data  PlayerMove          27049591782
Data  NewTurn             27049591782
Data  PlayerMove          27049592116
Data  NewTurn             27049592116
Data  PlayerMove          27049592215
Data  NewTurn             27049592215
Data  PlayerMove          27049592765
Data  NewTurn             27049592765
Data  PlayerMove          27049592882
Data  NewTurn             27049592882
Data  PlayerMove          27049593532
Data  NewTurn             27049593532
Data  PlayerMove          27049593648
Data  NewTurn             27049593648
Data  PlayerMove          27049594198
Data  NewTurn             27049594198
Data  PlayerMove          27049594298
Data  NewTurn             27049594298
Data  PlayerMove          27049594732
Data  NewTurn             27049594732
Data  PlayerMove          27049594849
Data  NewTurn             27049594849
Data  PlayerMove          27049595282
Data  NewTurn             27049595282
Data  PlayerMove          27049595398
Data  NewTurn             27049595398
Data  PlayerMove          27049596598
Data  NewTurn             27049596598
Data  PlayerMove          27049596698
Data  NewTurn             27049596698
Data  PlayerMove          27049597248
Data  NewTurn             27049597248
Data  PlayerMove          27049597365
Data  NewTurn             27049597365
Data  PlayerMove          27049597798
Data  NewTurn             27049597798
Data  PlayerMove          27049597916
Data  NewTurn             27049597916
Data  PlayerMove          27049598348
Data  NewTurn             27049598348
Data  PlayerMove          27049598465
Data  NewTurn             27049598465
Data  PlayerMove          27049598781
Data  NewTurn             27049598781
Data  PlayerMove          27049598898
Data  NewTurn             27049598898
Data  PlayerMove          27049613981
Data  NewTurn             27049613981
Data  PlayerMove          27049614098
Data  NewTurn             27049614098
Data  PlayerMove          27049614865
Data  NewTurn             27049614865
Data  PlayerMove          27049614982
Data  NewTurn             27049614982
Data  PlayerMove          27049615515
Data  NewTurn             27049615515
Data  PlayerMove          27049615632
Data  NewTurn             27049615632
Data  PlayerMove          27049616065
Data  NewTurn             27049616065
Data  PlayerMove          27049616182
Data  NewTurn             27049616182
Data  PlayerMove          27049616716
Data  NewTurn             27049616716
Data  PlayerMove          27049616831
Data  NewTurn             27049616831
Data  PlayerMove          27049624048
Data  NewTurn             27049624048
Data  PlayerMove          27049624164
Data  PlayerWon           27049624164
CloseLog
