starting ...
Status Connected          15278091451
Data  GameReadyToStart    15278092902
Data  NewTurn             15278092949
Data  PlayerMove          15278093001
Data  NewTurn             15278093002
Data  PlayerMove          15278093118
Data  NewTurn             15278093118
Data  PlaceWall           15278093217
Data  NewTurn             15278093224
Data  PlayerMove          15278093335
Data  NewTurn             15278093335
Data  PlayerMove          15278093451
Data  NewTurn             15278093451
Data  PlayerMove          15278093551
Data  NewTurn             15278093551
Data  PlaceWall           15278093667
Data  NewTurn             15278093667
Data  PlayerMove          15278093767
Data  NewTurn             15278093767
Data  PlayerMove          15278093886
Data  NewTurn             15278093886
Data  PlayerMove          15278094001
Data  NewTurn             15278094001
Data  PlaceWall           15278094100
Data  NewTurn             15278094100
Data  PlayerMove          15278094217
Data  NewTurn             15278094217
Data  PlayerMove          15278094317
Data  NewTurn             15278094317
Data  PlayerMove          15278094434
Data  NewTurn             15278094434
Data  PlaceWall           15278094534
Data  NewTurn             15278094534
Data  PlayerMove          15278094651
Data  NewTurn             15278094651
Data  PlayerMove          15278094751
Data  NewTurn             15278094751
Data  PlayerMove          15278094867
Data  NewTurn             15278094867
Data  PlaceWall           15278094984
Data  NewTurn             15278094984
Data  PlayerMove          15278095084
Data  NewTurn             15278095084
Data  PlayerMove          15278095201
Data  NewTurn             15278095201
Data  PlayerMove          15278095301
Data  NewTurn             15278095301
Data  PlaceWall           15278095418
Data  NewTurn             15278095454
Data  PlayerMove          15278095518
Data  NewTurn             15278095518
Data  PlayerMove          15278095634
Data  NewTurn             15278095634
Data  PlayerMove          15278095751
Data  NewTurn             15278095751
Data  PlayerMove          15278095851
Data  NewTurn             15278095851
Data  PlayerMove          15278095968
Data  NewTurn             15278095968
Data  PlayerMove          15278096068
Data  NewTurn             15278096068
Data  PlayerMove          15278096184
Data  PlayerWon           15278096184
CloseLog
