starting ...
Status Connected          15278631799
Data  GameReadyToStart    15278633417
Data  NewTurn             15278633425
Data  PlayerMove          15278633516
Data  NewTurn             15278633516
Data  PlayerMove          15278633615
Data  NewTurn             15278633615
Data  PlaceWall           15278633732
Data  NewTurn             15278633733
Data  PlayerMove          15278633833
Data  NewTurn             15278633833
Data  PlaceWall           15278633949
Data  NewTurn             15278633949
Data  PlayerMove          15278634050
Data  NewTurn             15278634050
Data  PlaceWall           15278634166
Data  NewTurn             15278634166
Data  PlayerMove          15278634283
Data  NewTurn             15278634283
Data  PlayerMove          15278634382
Data  NewTurn             15278634382
Data  PlayerMove          15278634499
Data  NewTurn             15278634499
Data  PlayerMove          15278634599
Data  NewTurn             15278634599
Data  PlayerMove          15278634715
Data  NewTurn             15278634715
Data  PlayerMove          15278634816
Data  NewTurn             15278634816
Data  PlayerMove          15278634933
Data  NewTurn             15278634933
Data  PlaceWall           15278635032
Data  NewTurn             15278635032
Data  PlayerMove          15278635149
Data  NewTurn             15278635149
Data  PlayerMove          15278635266
Data  NewTurn             15278635266
Data  PlayerMove          15278635366
Data  NewTurn             15278635366
Data  PlaceWall           15278635482
Data  NewTurn             15278635482
Data  PlayerMove          15278635583
Data  NewTurn             15278635583
Data  PlayerMove          15278635700
Data  NewTurn             15278635700
Data  PlayerMove          15278635800
Data  NewTurn             15278635800
Data  PlayerMove          15278635916
Data  NewTurn             15278635916
Data  PlayerMove          15278636016
Data  PlayerWon           15278636016
CloseLog
