starting ...
Status Connected          27461949003
Data  GameReadyToStart    27461949604
Data  NewTurn             27461949612
Data  PlayerMove          27461952219
Data  NewTurn             27461952220
Data  PlayerMove          27461952336
Data  NewTurn             27461952336
Data  PlayerMove          27461952886
Data  NewTurn             27461952886
Data  PlayerMove          27461952986
Data  NewTurn             27461952986
Data  PlayerMove          27461953436
Data  NewTurn             27461953436
Data  PlayerMove          27461953536
Data  NewTurn             27461953536
Data  PlayerMove          27461954203
Data  NewTurn             27461954203
Data  PlaceWall           27461954303
Data  NewTurn             27461954305
Data  PlayerMove          27461955070
Data  NewTurn             27461955070
Data  PlaceWall           27461955187
Data  NewTurn             27461955187
Data  PlayerMove          27461955953
Data  NewTurn             27461955953
Data  PlayerMove          27461956053
Data  NewTurn             27461956053
Data  PlayerMove          27461956503
Data  NewTurn             27461956503
Data  PlaceWall           27461956602
Data  NewTurn             27461956602
Data  PlayerMove          27461956936
Data  NewTurn             27461956936
Data  PlayerMove          27461957036
Data  NewTurn             27461957036
Data  PlayerMove          27461957370
Data  NewTurn             27461957370
Data  PlayerMove          27461957469
Data  NewTurn             27461957469
Data  PlayerMove          27461957703
Data  NewTurn             27461957703
Data  PlayerMove          27461957802
Data  NewTurn             27461957802
Data  PlayerMove          27461958019
Data  NewTurn             27461958019
Data  PlayerMove          27461958135
Data  NewTurn             27461958135
Data  PlayerMove          27461958470
Data  NewTurn             27461958470
Data  PlayerMove          27461958570
Data  NewTurn             27461958570
Data  PlayerMove          27461959987
Data  NewTurn             27461959987
Data  PlaceWall           27461960103
Data  NewTurn             27461960103
Data  PlayerMove          27461961086
Data  NewTurn             27461961086
Data  PlaceWall           27461961204
Data  NewTurn             27461961204
Data  PlayerMove          27461961852
Data  NewTurn             27461961852
Data  PlaceWall           27461961969
Data  NewTurn             27461961969
Data  PlayerMove          27461962953
Data  NewTurn             27461962953
Data  PlayerMove          27461963052
Data  NewTurn             27461963052
Data  PlayerMove          27461963486
Data  NewTurn             27461963486
Data  PlayerMove          27461963603
Data  NewTurn             27461963603
Data  PlayerMove          27461964155
Data  NewTurn             27461964155
CloseLog
