starting ...
Status Connected          27461949539
Data  GameReadyToStart    27461949606
Data  NewTurn             27461949614
Data  PlayerMove          27461952221
Data  NewTurn             27461952222
Data  PlayerMove          27461952338
Data  NewTurn             27461952338
Data  PlayerMove          27461952888
Data  NewTurn             27461952888
Data  PlayerMove          27461952988
Data  NewTurn             27461952988
Data  PlayerMove          27461953438
Data  NewTurn             27461953438
Data  PlayerMove          27461953538
Data  NewTurn             27461953538
Data  PlayerMove          27461954205
Data  NewTurn             27461954205
Data  PlaceWall           27461954304
Data  NewTurn             27461954306
Data  PlayerMove          27461955072
Data  NewTurn             27461955072
Data  PlaceWall           27461955189
Data  NewTurn             27461955189
Data  PlayerMove          27461955955
Data  NewTurn             27461955955
Data  PlayerMove          27461956055
Data  NewTurn             27461956055
Data  PlayerMove          27461956488
Data  NewTurn             27461956488
Data  PlaceWall           27461956604
Data  NewTurn             27461956604
Data  PlayerMove          27461956938
Data  NewTurn             27461956938
Data  PlayerMove          27461957038
Data  NewTurn             27461957038
Data  PlayerMove          27461957371
Data  NewTurn             27461957371
Data  PlayerMove          27461957471
Data  NewTurn             27461957471
Data  PlayerMove          27461957705
Data  NewTurn             27461957705
Data  PlayerMove          27461957805
Data  NewTurn             27461957805
Data  PlayerMove          27461958021
Data  NewTurn             27461958021
Data  PlayerMove          27461958139
Data  NewTurn             27461958139
Data  PlayerMove          27461958472
Data  NewTurn             27461958472
Data  PlayerMove          27461958572
Data  NewTurn             27461958572
Data  PlayerMove          27461959988
Data  NewTurn             27461959988
Data  PlaceWall           27461960105
Data  NewTurn             27461960105
Data  PlayerMove          27461961089
Data  NewTurn             27461961089
Data  PlaceWall           27461961205
Data  NewTurn             27461961205
Data  PlayerMove          27461961855
Data  NewTurn             27461961855
Data  PlaceWall           27461961971
Data  NewTurn             27461961972
Data  PlayerMove          27461962955
Data  NewTurn             27461962955
Data  PlayerMove          27461963055
Data  NewTurn             27461963055
Data  PlayerMove          27461963489
Data  NewTurn             27461963489
Data  PlayerMove          27461963605
Data  NewTurn             27461963605
Data  PlayerMove          27461964156
Data  NewTurn             27461964156
