starting ...
Status Connected          27048831006
Data  GameReadyToStart    27048831107
Data  NewTurn             27048831213
Data  PlaceWall           27048831255
Data  NewTurn             27048831275
Data  PlayerMove          27048831372
Data  NewTurn             27048831372
Data  PlayerMove          27048831472
Data  NewTurn             27048831472
Data  PlaceWall           27048831588
Data  NewTurn             27048831601
Data  PlaceWall           27048831689
Data  NewTurn             27048831689
Data  PlayerMove          27048831805
Data  NewTurn             27048831805
Data  PlayerMove          27048831905
Data  NewTurn             27048831905
Data  PlayerMove          27048832022
Data  NewTurn             27048832022
Data  PlaceWall           27048832135
Data  NewTurn             27048832135
Data  PlayerMove          27048832239
Data  NewTurn             27048832239
Data  PlaceWall           27048832370
Data  NewTurn             27048832370
Data  PlayerMove          27048832457
Data  NewTurn             27048832457
Data  PlaceWall           27048832573
Data  NewTurn             27048832573
Data  PlayerMove          27048832673
Data  NewTurn             27048832673
Data  PlaceWall           27048832789
Data  NewTurn             27048832789
Data  PlayerMove          27048832889
Data  NewTurn             27048832889
Data  PlaceWall           27048833006
Data  NewTurn             27048833006
Data  PlayerMove          27048833123
Data  NewTurn             27048833123
Data  PlayerMove          27048833223
Data  NewTurn             27048833223
Data  PlaceWall           27048833340
Data  NewTurn             27048833340
Data  PlayerMove          27048833440
Data  NewTurn             27048833440
Data  PlayerMove          27048833556
Data  NewTurn             27048833556
Data  PlayerMove          27048833657
Data  NewTurn             27048833657
Data  PlaceWall           27048833773
Data  NewTurn             27048833773
Data  PlayerMove          27048833873
Data  NewTurn             27048833873
Data  PlayerMove          27048833989
Data  NewTurn             27048833989
Data  PlayerMove          27048834089
Data  NewTurn             27048834089
Data  PlaceWall           27048834206
Data  NewTurn             27048834206
Data  PlayerMove          27048834322
Data  NewTurn             27048834322
Data  PlayerMove          27048834422
Data  NewTurn             27048834422
Data  PlayerMove          27048834539
Data  NewTurn             27048834539
Data  PlaceWall           27048834655
Data  NewTurn             27048834655
Data  PlayerMove          27048834756
Data  NewTurn             27048834756
Data  PlayerMove          27048834856
Data  NewTurn             27048834856
Data  PlayerMove          27048834972
Data  NewTurn             27048834972
Data  PlaceWall           27048835089
Data  NewTurn             27048835089
Status Disconnected       27048872039
CloseLog
