starting ...
Status Connected          27048819186
Data  GameReadyToStart    27048831106
Data  NewTurn             27048831196
Data  PlaceWall           27048831254
Data  NewTurn             27048831280
Data  PlayerMove          27048831371
Data  NewTurn             27048831372
Data  PlayerMove          27048831471
Data  NewTurn             27048831471
Data  PlaceWall           27048831588
Data  NewTurn             27048831589
Data  PlaceWall           27048831688
Data  NewTurn             27048831688
Data  PlayerMove          27048831805
Data  NewTurn             27048831805
Data  PlayerMove          27048831905
Data  NewTurn             27048831905
Data  PlayerMove          27048832021
Data  NewTurn             27048832021
Data  PlaceWall           27048832122
Data  NewTurn             27048832122
Data  PlayerMove          27048832239
Data  NewTurn             27048832239
Data  PlaceWall           27048832388
Data  NewTurn             27048832388
Data  PlayerMove          27048832473
Data  NewTurn             27048832473
Data  PlaceWall           27048832572
Data  NewTurn             27048832572
Data  PlayerMove          27048832673
Data  NewTurn             27048832673
Data  PlaceWall           27048832789
Data  NewTurn             27048832789
Data  PlayerMove          27048832906
Data  NewTurn             27048832906
Data  PlaceWall           27048833005
Data  NewTurn             27048833005
Data  PlayerMove          27048833123
Data  NewTurn             27048833123
Data  PlayerMove          27048833222
Data  NewTurn             27048833222
Data  PlaceWall           27048833339
Data  NewTurn             27048833339
Data  PlayerMove          27048833439
Data  NewTurn             27048833439
Data  PlayerMove          27048833555
Data  NewTurn             27048833555
Data  PlayerMove          27048833655
Data  NewTurn             27048833655
Data  PlaceWall           27048833773
Data  NewTurn             27048833773
Data  PlayerMove          27048833872
Data  NewTurn             27048833872
Data  PlayerMove          27048833988
Data  NewTurn             27048833988
Data  PlayerMove          27048834088
Data  NewTurn             27048834088
Data  PlaceWall           27048834205
Data  NewTurn             27048834205
Data  PlayerMove          27048834321
Data  NewTurn             27048834321
Data  PlayerMove          27048834421
Data  NewTurn             27048834421
Data  PlayerMove          27048834539
Data  NewTurn             27048834539
Data  PlaceWall           27048834655
Data  NewTurn             27048834655
Data  PlayerMove          27048834755
Data  NewTurn             27048834755
Data  PlayerMove          27048834855
Data  NewTurn             27048834855
Data  PlayerMove          27048834972
Data  NewTurn             27048834972
Data  PlaceWall           27048835089
Data  NewTurn             27048835089
